mapc,ten,demuc_id,chuong_id,chude_id,noidung,chimuc,vbqppl,vbqppl_link,stt
090010000000000010000001000000000000000000100000000000000000,Điều 9.1.LQ.1. Phạm vi điều chỉnh,eb0e4753-243e-4344-90e6-70aaf5188a6d,0900100000000000100000010000000000000000,8545ecbc-f0ce-44aa-83d6-c43d056f63f2,"Bộ luật này quy định địa vị pháp lý, chuẩn mực pháp lý về cách ứng xử của cá nhân, pháp nhân; quyền, nghĩa vụ về nhân thân và tài sản của cá nhân, pháp nhân trong các quan hệ được hình thành trên cơ sở bình đẳng, tự do ý chí, độc lập về tài sản và tự chịu trách nhiệm (sau đây gọi chung là quan hệ dân sự).
",1,"(Điều 1 Bộ luật số 91/2015/QH13 Dân sự ngày 24/11/2015 của Quốc hội, có hiệu lực thi hành kể từ ngày 01/01/2017 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=95942#Phan_nhất_Chuong_I_Dieu_1,0
090010000000000010000001000000000000000000140229830088000010,Điều 9.1.NĐ.2.1. Phạm vi điều chỉnh và đối tượng áp dụng,eb0e4753-243e-4344-90e6-70aaf5188a6d,0900100000000000100000010000000000000000,8545ecbc-f0ce-44aa-83d6-c43d056f63f2,"1. Nghị định này quy định việc xác định lại giới tính đối với người có khuyết tật bẩm sinh về giới tính hoặc giới tính chưa được định hình chính xác.

2. Nghị định này áp dụng với các tổ chức, cá nhân trong nước; tổ chức, cá nhân nước ngoài tại Việt Nam.
",1,"(Điều 1 Nghị định số 88/2008/NĐ-CP Về xác định lại giới tính ngày 05/08/2008 của Chính phủ, có hiệu lực thi hành kể từ ngày 24/08/2008 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=24566#Chuong_I_Dieu_1,1
090010000000000010000001000000000000000000140229830088000020,Điều 9.1.NĐ.2.2. Giải thích từ ngữ,eb0e4753-243e-4344-90e6-70aaf5188a6d,0900100000000000100000010000000000000000,8545ecbc-f0ce-44aa-83d6-c43d056f63f2,"Trong Nghị định này, các từ ngữ dưới đây được hiểu như sau:

1.Khuyết tật bẩm sinh về giới tính là những bất thường ở bộ phận sinh dục của một người ngay từ khi mới sinh ra, biểu hiện ở một trong các dạng như nữ lưỡng giới giả nam, nam lưỡng giới giả nữ hoặc lưỡng giới thật;

2.Giới tính chưa được định hình chính xác là những trường hợp chưa thể phân biệt được một người là nam hay nữ xét về cả bộ phận sinh dục và nhiễm sắc thể giới tính;

3.Gen biệt hóa tinh hoàn là gen mã hóa yếu tố xác định tinh hoàn nằm trên nhánh gắn của nhiễm sắc thể Y mà nếu xét nghiệm cho kết quả dương tính thì đó chính là yếu tố của sự phát triển, hình thành tinh hoàn có biểu hiện cho nam giới.
",2,"(Điều 2 Nghị định số 88/2008/NĐ-CP, có hiệu lực thi hành kể từ ngày 24/08/2008)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=24566#Chuong_I_Dieu_2,2
090010000000000010000001000000000000000000140268330019000010,Điều 9.1.NĐ.3.1. Phạm vi điều chỉnh,eb0e4753-243e-4344-90e6-70aaf5188a6d,0900100000000000100000010000000000000000,8545ecbc-f0ce-44aa-83d6-c43d056f63f2,"Nghị định này Quy định về nguyên tắc tổ chức họ, hụi, biêu, phường (sau đây gọi tắt là họ); điều kiện làm thành viên, chủ họ; gia nhập, rút khỏi họ; văn bản thỏa thuận về họ; thứ tự lĩnh họ, lãi suất; quyền, nghĩa vụ và trách nhiệm pháp lý của thành viên, chủ họ.
",1,"(Điều 1 Nghị định số 19/2019/NĐ-CP Về họ, hụi, biêu, phường ngày 19/02/2019 của Chính phủ, có hiệu lực thi hành kể từ ngày 05/04/2019 )",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=134279#Chuong_I_Dieu_1,3
090010000000000010000001000000000000000000140268330019000020,Điều 9.1.NĐ.3.2. Đối tượng áp dụng,eb0e4753-243e-4344-90e6-70aaf5188a6d,0900100000000000100000010000000000000000,8545ecbc-f0ce-44aa-83d6-c43d056f63f2,"Nghị định này áp dụng đối với:

1. Những người tham gia dây họ, gồm các thành viên và chủ họ;

2. Cơ quan, tổ chức, cá nhân khác có liên quan.
",2,"(Điều 2 Nghị định số 19/2019/NĐ-CP, có hiệu lực thi hành kể từ ngày 05/04/2019)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=134279#Chuong_I_Dieu_2,4
090010000000000010000001000000000000000000140268330019000040,Điều 9.1.NĐ.3.4. Giải thích từ ngữ,eb0e4753-243e-4344-90e6-70aaf5188a6d,0900100000000000100000010000000000000000,8545ecbc-f0ce-44aa-83d6-c43d056f63f2,"Trong Nghị định này, các từ ngữ dưới đây được hiểu như sau:

1. Dây họ là một họ hình thành trên cơ sở thỏa thuận cụ thể của những người tham gia họ về thời gian, phần họ, thể thức góp họ, lĩnh họ, quyền, nghĩa vụ của chủ họ (nếu có) và các thành viên.

2. Thành viên là người tham gia dây họ, góp phần họ, được lĩnh họ và trả lãi (nếu có).

3. Chủ họ là người tổ chức, quản lý dây họ, thu các phần họ và giao các phần họ đó cho thành viên được lĩnh họ trong mỗi kỳ mở họ cho tới khi kết thúc dây họ. Chủ họ có thể đồng thời là thành viên của dây họ.

4. Phần họ là số tiền hoặc tài sản khác (sau đây gọi là tiền) được xác định theo thoả thuận mà mỗi thành viên phải góp tại mỗi kỳ mở họ.

5. Kỳ mở họ là thời điểm được xác định theo thoả thuận của những người tham gia dây họ mà tại thời điểm đó các thành viên góp phần họ và có thành viên được lĩnh họ.

6. Họ không có lãi là họ mà thành viên được lĩnh họ nhận các phần họ khi đến kỳ mở họ và không phải trả lãi cho các thành viên khác.

7. Họ có lãi là họ mà thành viên được lĩnh họ nhận các phần họ khi đến kỳ mở họ và phải trả lãi cho các thành viên khác.

8. Họ hưởng hoa hồng là họ có lãi hoặc họ không có lãi mà thành viên được lĩnh họ phải trả một khoản hoa hồng cho chủ họ theo mức do những người tham gia dây họ thỏa thuận.
",4,"(Điều 4 Nghị định số 19/2019/NĐ-CP, có hiệu lực thi hành kể từ ngày 05/04/2019)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=134279#Chuong_I_Dieu_4,5
090010000000000010000001000000000000000000200000000000000000,"Điều 9.1.LQ.2. Công nhận, tôn trọng, bảo vệ và bảo đảm quyền dân sự",eb0e4753-243e-4344-90e6-70aaf5188a6d,0900100000000000100000010000000000000000,8545ecbc-f0ce-44aa-83d6-c43d056f63f2,"1. Ở nước Cộng hòa xã hội chủ nghĩa Việt Nam, các quyền dân sự được công nhận, tôn trọng, bảo vệ và bảo đảm theo Hiến pháp và pháp luật.

2. Quyền dân sự chỉ có thể bị hạn chế theo quy định của luật trong trường hợp cần thiết vì lý do quốc phòng, an ninh quốc gia, trật tự, an toàn xã hội, đạo đức xã hội, sức khỏe của cộng đồng.
",2,"(Điều 2 Bộ luật số 91/2015/QH13, có hiệu lực thi hành kể từ ngày 01/01/2017)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=95942#Phan_nhất_Chuong_I_Dieu_2,6
090010000000000010000001000000000000000000300000000000000000,Điều 9.1.LQ.3. Các nguyên tắc cơ bản của pháp luật dân sự,eb0e4753-243e-4344-90e6-70aaf5188a6d,0900100000000000100000010000000000000000,8545ecbc-f0ce-44aa-83d6-c43d056f63f2,"1. Mọi cá nhân, pháp nhân đều bình đẳng, không được lấy bất kỳ lý do nào để phân biệt đối xử; được pháp luật bảo hộ như nhau về các quyền nhân thân và tài sản.

2. Cá nhân, pháp nhân xác lập, thực hiện, chấm dứt quyền, nghĩa vụ dân sự của mình trên cơ sở tự do, tự nguyện cam kết, thỏa thuận. Mọi cam kết, thỏa thuận không vi phạm điều cấm của luật, không trái đạo đức xã hội có hiệu lực thực hiện đối với các bên và phải được chủ thể khác tôn trọng.

3. Cá nhân, pháp nhân phải xác lập, thực hiện, chấm dứt quyền, nghĩa vụ dân sự của mình một cách thiện chí, trung thực.

4. Việc xác lập, thực hiện, chấm dứt quyền, nghĩa vụ dân sự không được xâm phạm đến lợi ích quốc gia, dân tộc, lợi ích công cộng, quyền và lợi ích hợp pháp của người khác.

5. Cá nhân, pháp nhân phải tự chịu trách nhiệm về việc không thực hiện hoặc thực hiện không đúng nghĩa vụ dân sự.
",3,"(Điều 3 Bộ luật số 91/2015/QH13, có hiệu lực thi hành kể từ ngày 01/01/2017)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=95942#Phan_nhất_Chuong_I_Dieu_3,7
09001000000000001000000100000000000000000030000000000000000000402683300190000300,Điều 9.1.NĐ.3.3. Nguyên tắc tổ chức họ,eb0e4753-243e-4344-90e6-70aaf5188a6d,0900100000000000100000010000000000000000,8545ecbc-f0ce-44aa-83d6-c43d056f63f2,"1. Việc tổ chức họ phải tuân thủ các nguyên tắc cơ bản của pháp luật dân sự quy định tại Điều 3 của Bộ luật dân sự.

2. Việc tổ chức họ chỉ được thực hiện nhằm mục đích tương trợ lẫn nhau giữa những người tham gia quan hệ về họ.

3. Không được tổ chức họ để cho vay lãi nặng, lừa đảo chiếm đoạt tài sản, lạm dụng tín nhiệm chiếm đoạt tài sản, huy động vốn trái pháp luật hoặc các hành vi vi phạm pháp luật khác.
",3,"(Điều 3 Nghị định số 19/2019/NĐ-CP, có hiệu lực thi hành kể từ ngày 05/04/2019)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=134279#Chuong_I_Dieu_3,8
090010000000000010000001000000000000000000400000000000000000,Điều 9.1.LQ.4. Áp dụng Bộ luật dân sự,eb0e4753-243e-4344-90e6-70aaf5188a6d,0900100000000000100000010000000000000000,8545ecbc-f0ce-44aa-83d6-c43d056f63f2,"1. Bộ luật này là luật chung điều chỉnh các quan hệ dân sự.

2. Luật khác có liên quan điều chỉnh quan hệ dân sự trong các lĩnh vực cụ thể không được trái với các nguyên tắc cơ bản của pháp luật dân sự quy định tại Điều 3 của Bộ luật này.

3. Trường hợp luật khác có liên quan không quy định hoặc có quy định nhưng vi phạm khoản 2 Điều này thì quy định của Bộ luật này được áp dụng.

4. Trường hợp có sự khác nhau giữa quy định của Bộ luật này và điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên về cùng một vấn đề thì áp dụng quy định của điều ước quốc tế.
",4,"(Điều 4 Bộ luật số 91/2015/QH13, có hiệu lực thi hành kể từ ngày 01/01/2017)",http://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=95942#Phan_nhất_Chuong_I_Dieu_4,9
